System PWS ID,System Name,System Primary Source Water Type,Population,Sample Date,County,PFOS (ng/L),PFOA (ng/L),GenX = HFPO-DA (ng/L),PFBS (ng/L),PFNA (ng/L),PFHxS (ng/L),NC0157138,COLD SPRINGS POA,Groundwater,165,8/8/2023,MACON,0.906,ND,ND.1,ND.2,ND.3,ND.4,NC0368118,HILL TOP MHP,84,5/4/2023,ORANGE,1.98,2.55,8.24,11.9,NC0145171,OAK CREST RETIREMENT ESTATES,98,10/26/2023,HENDERSON,3.43,4.71,6.33,1.34,NC0392126,SUMMERFIELD MHP,110,5/11/2023,WAKE,0.257
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4092133,KINGSTON MANOR S/D,88.0,5/25/2023,WAKE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0201118,KIRBY`S MHP,60.0,11/2/2023,ALAMANCE,2.18,3.59,ND,1.01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC3041101,KNIGHT`S LANDING S/D,107.0,8/28/2023,GUILFORD,3.41,1.6,4.05,0.975,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0392214,KNIGHTDALE ESTATES MHP,285.0,6/13/2023,WAKE,46.7,4.7,5.62,49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145151,KNOLL RIDGE MHP,75.0,8/17/2023,HENDERSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0118108,KOOL PARK MHP,70.0,9/27/2023,CATAWBA,1.37,1.43,ND,0.959,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0118467,LAKE HICKORY RV RESORT,200.0,9/27/2023,CATAWBA,8.64,11.2,0.874,1.96,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0156107,LAKE JAMES LODGE ASSISTED LIVI,80.0,10/5/2023,MCDOWELL,ND,ND,ND,1.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0181138,LAKE LURE VILLAGE RESORT,206.0,11/3/2023,RUTHERFORD,ND,1.01,1.69,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0416205,LAKE ROAD MHP,40.0,8/1/2023,CARTERET,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145129,LAKE SHEILA WATER SYSTEM,98.0,8/30/2023,HENDERSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0392150,LAKESIDE ESTATES,61.0,7/13/2023,WAKE,1.11,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0467136,LAURADALE S/D,2527.0,8/7/2023,ONSLOW,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC1057025,LAUREL HILLS,26.0,8/31/2023,MACON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0157137,LAUREL RIDGE,115.0,8/31/2023,MACON,ND,ND,1.57,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0195137,LAURELWOOD DEVELOPMENT,71.0,7/11/2023,WATAUGA,ND,0.924,0.886,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0136396,LAWS MHP,67.0,10/24/2023,GASTON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0471113,LEA ACRES WATER CO INC,120.0,8/8/2023,PENDER,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4092127,LEONE LANDING,69.0,5/16/2023,WAKE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0276611,LEVEL CROSS CHRISTIAN SCHOOL,92.0,9/26/2023,RANDOLPH,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC2049041,LIBERTY PREPARATORY CHRISTIAN ACADEMY,510.0,7/25/2023,IREDELL,0.992,0.954,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,0.211,ND,,,,NC0416142,LIGHTHOUSE WAY MHP & APTS,79.0,8/1/2023,CARTERET,5.53,5.35,1.97,1.21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0363129,LINDEN VILLAS WTR SYSTEM,44.0,8/15/2023,MOORE,1.08,2.17,0.608,1.06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0201188,LINEBERRY MHP,74.0,8/29/2023,ALAMANCE,ND,2.11,2.46,0.757,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC1056001,LINVILLE FALLS CLUB,125.0,10/5/2023,MCDOWELL,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0106104,LINVILLE LAND HARBOR,2280.0,10/19/2023,AVERY,0.787,1.71,1.04,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0392153,LITTLE RIVER MHP,79.0,7/24/2023,WAKE,18.4,12.1,10.2,3.13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0156105,LITTLE SWITZERLAND COMM ASSOC,300.0,9/6/2023,MCDOWELL,0.821,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0392154,LONG`S MH VILLAGE,90.0,9/7/2023,WAKE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0136265,MAGNOLIA MHP,94.0,8/22/2023,GASTON,ND,2.05,2.38,2.08,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145172,MAGNOLIA MHP,138.0,8/3/2023,HENDERSON,3.16,4.31,2.41,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0416167,MANN`S MHP,40.0,8/1/2023,CARTERET,5.84,3.43,ND,2.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145115,MAPLE HILLS MHP,185.0,9/13/2023,HENDERSON,2.69,4.99,3.41,1.83,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0201174,MAPLE OAKS MHP,55.0,10/31/2023,ALAMANCE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,1.16,,,,NC0201190,MAPLE VIEW MHP,96.0,8/15/2023,ALAMANCE,11.8,18.5,2.74,20.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0120025,MARBLE COMMUNITY WTR SYSTEM,999.0,9/20/2023,CHEROKEE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0156132,MARION MOOSE LODGE,320.0,9/6/2023,MCDOWELL,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0156133,MARION MOOSE LODGE-MOUNTAIN,160.0,9/6/2023,MCDOWELL,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0155496,MARYVALE DAY SCHOOL & ST KATES,97.0,10/9/2023,LINCOLN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,0.631,,,,NC0234167,MCBRIDE`S MHP,190.0,9/5/2023,FORSYTH,30.6,35.8,6.4,18.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC1056009,MCDOWELL HOUSE REST HOME,36.0,9/27/2023,MCDOWELL,ND,2.28,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0392159,MEADOW LAKE S/D,42.0,7/12/2023,WAKE,1.06,1.29,ND,3.36,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4035018,MEADOW LAKE S/D,102.0,5/25/2023,FRANKLIN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0201120,MEADOWLANE ESTATES MHP,48.0,8/29/2023,ALAMANCE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0241125,MEADOWVIEW MHP,92.0,10/24/2023,GUILFORD,1.54,2.24,0.756,0.825,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0217107,MEADOWVIEW TRAILER COURT,60.0,10/26/2023,CASWELL,1.19,0.915,ND,0.744,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0175102,MELMONT WATER SYSTEM,127.0,10/11/2023,POLK,ND,0.77,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0136379,MELTON MHP,43.0,8/2/2023,GASTON,ND,1.41,1.97,1.33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4092174,MENDENHALL S/D,25.0,5/18/2023,WAKE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0149180,MIDWAY ROAD MHP,102.0,10/17/2023,IREDELL,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0446025,MILLENNIUM WATER ASSOCIATION,711.0,11/13/2023,HERTFORD,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145565,MILLS RIVER SEVENTH DAY ADVENT,50.0,9/13/2023,HENDERSON,0.906,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4035009,MILLSTONE S/D,272.0,5/9/2023,FRANKLIN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0382536,MINTZ CHRISTIAN ACADEMY,250.0,8/8/2023,SAMPSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0431103,MISSION PARK B&L TRAILER COURT,65.0,8/8/2023,DUPLIN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0180130,MOBIL LODGE MHP,94.0,10/26/2023,ROWAN,4.59,7.07,4.56,3.35,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,0.194,ND,,,,NC0392303,MOBILE HILL ESTATE  NO 3,105.0,7/25/2023,WAKE,4.06,6.11,3.63,2.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0136378,MOBILE HOME PARK HAVEN,142.0,10/18/2023,GASTON,ND,0.717,3.64,0.743,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0241126,MONROE`S MHP,187.0,9/26/2023,GUILFORD,11.2,5.77,16.5,3.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0235102,MONTGOMERY MOBILE ESTATES,0.0,6/12/2023,FRANKLIN,3.54,33.7,2.91,11.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0150157,MORNING STAR ASSISTED LIVING OF JACKSON,80.0,7/27/2023,JACKSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC4092153,MORNINGTON S/D,170.0,5/16/2023,WAKE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0118283,MOUNTAIN CREEK SHORES S/D,102.0,9/6/2023,CATAWBA,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC3095014,MOUNTAIN PATHWAYS SCHOOL ANNEX,77.0,10/19/2023,WATAUGA,2.81,0.956,1.77,0.749,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC1050035,MOUNTAIN TOP GOLF & LAKE CLUB,406.0,8/28/2023,JACKSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145420,MOUNTAIN VIEW ASSISTED LIVING,44.0,8/3/2023,HENDERSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0145162,MOUNTAIN VIEW MHP,67.0,9/19/2023,HENDERSON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0157132,MOUNTAIN VIEW RESORT,66.0,8/1/2023,MACON,ND,1.7,1.88,0.834,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0136241,MOUNTAIN VILLAGE MHP,44.0,11/20/2023,GASTON,1.94,5.68,3.63,6.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0276634,MT CALVARY CHRISTIAN SCHOOL,98.0,9/26/2023,RANDOLPH,6.5,5.99,1.84,3.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0120115,MURPHY MHP,51.0,9/20/2023,CHEROKEE,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0187562,NANTAHALA OUTDOOR--FLINT RIDGE,46.0,10/18/2023,SWAIN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0157147,NANTAHALA SHORES,53.0,10/25/2023,MACON,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0187124,NANTAHALA VILLAGE,135.0,10/18/2023,SWAIN,ND,ND,1.76,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0235488,NELSON HEADSTART DAYCARE,58.0,8/29/2023,FRANKLIN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,0.446,1.34,,,,NC0326140,NEW TOWN APARTMENTS LLC,258.0,8/16/2023,CUMBERLAND,21.9,17.4,5.61,13.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0416172,NEWPORT RIDGE MHP,71.0,8/1/2023,CARTERET,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0425126,NORRIS MHP,91.0,11/16/2023,CRAVEN,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Surface Water Purchase,,,,,ND,ND,,,,NC0454025,NORTH LENOIR WATER CORP,15215.0,9/19/2023,LENOIR,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0465179,NORTHSIDE MHP,180.0,7/31/2023,NEW HANOVER,3.96,1.13,1.18,1.19,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0241651,NORTHWEST BAPTIST DAYCARE,32.0,10/26/2023,GUILFORD,6.13,5.25,1.73,2.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0467030,NORTHWEST ONSLOW WATER ASSOC,2052.0,8/7/2023,ONSLOW,ND,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,NC0347015,NORTHWEST WATER SUPPLY INC,1105.0,8/15/2023,HOKE,1.95,1.49,1,1.35,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0368152,OAK GROVE MHP,64.0,6/8/2023,ORANGE,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC3079008,OAK LEVEL BAPTIST ACADEMY-ROCKINGHAM CO,80.0,9/5/2023,ROCKINGHAM,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0464115,OAK LEVEL MHP,99.0,7/17/2023,NASH,1.6,1.66,0.726,0.858,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113200,OAKLAND GLEN MHP,257.0,8/31/2023,CABARRUS,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0180182,OAKLAND S/D,119.0,8/14/2023,ROWAN,3.17,4.68,2.54,1.97,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0465138,OAKLEY MHP,92.0,7/31/2023,NEW HANOVER,11.3,4.07,3.18,1.64,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,0.26,ND,,,,,,,,,,,,,NC4092168,OLDE MILL TRACE S/D,394.0,5/16/2023,WAKE,1.58,5.17,1.49,2,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC1045008,OLETA FALLS S/D,75.0,8/3/2023,HENDERSON,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC2090016,OMNI MONTESORRI SCHOOL,50.0,9/18/2023,UNION,1.96,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,3.01,,,,,,,,,,,,,NC0368148,ORANGE MHP,81.0,5/4/2023,ORANGE,43.5,26.3,23.6,11.8,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0467103,OSPREY COVE 1,475.0,8/7/2023,ONSLOW,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0467102,OSPREY COVE 2,475.0,8/7/2023,ONSLOW,1.97,0.919,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113231,PARK CREEK S/D,203.0,8/31/2023,CABARRUS,0.848,1.24,2.86,2.9,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0201204,PARK PLACE,97.0,10/31/2023,ALAMANCE,19.7,14,2.95,5.67,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0114466,PATTERSON SCHOOL,50.0,10/4/2023,CALDWELL,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0195127,PEBBLE CREEK APARTMENTS,52.0,7/26/2023,WATAUGA,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC1087004,PELOHI COVE,46.0,10/24/2023,SWAIN,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0161400,PENLAND SCHOOL OF CRAFTS,100.0,8/10/2023,MITCHELL,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0180651,PIEDMONT BAPT CH-FAMILY LIFE CENTER,30.0,10/12/2023,ROWAN,3.95,2.39,1.36,1.82,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0235123,PINE FOREST MHP,84.0,6/12/2023,FRANKLIN,2.13,0.811,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0118165,PINE HAVEN MHP,53.0,9/27/2023,CATAWBA,2.52,5.07,1.48,2.84,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0416031,PINE KNOLL SHORES,4656.0,8/2/2023,CARTERET,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0112133,PINE MOUNTAIN LAKES S/D,239.0,10/4/2023,BURKE,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113190,PINE RIDGE  NO 2,61.0,8/31/2023,CABARRUS,1.25,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113181,PINE RIDGE MHP  NO 1,51.0,8/31/2023,CABARRUS,6.86,5.16,2.26,2.52,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0353122,PINE VILLAGE MHC LLC,411.0,7/31/2023,LEE,2.46,0.909,1.04,1.35,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0136176,PINES MHP,173.0,8/29/2023,GASTON,3.96,3.63,1.11,2.57,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0392177,PINEVIEW ESTATES,83.0,7/13/2023,WAKE,2.28,4.54,11.7,9.63,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,1.34,,,,,,,,,,,,,NC3041070,PLEASANT GARDEN WEESHINE PRESCHOOL,60.0,9/5/2023,GUILFORD,15,8.41,8.35,9.4,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0392179,PLEASANT GROVE MHC,180.0,8/16/2023,WAKE,1.28,1.35,ND,0.857,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0279163,PLEASANT RIDGE MHP,269.0,8/24/2023,ROCKINGHAM,ND,ND,2.02,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0427112,PONDEROSA MHP,300.0,11/15/2023,CURRITUCK,8.43,ND,1.06,6.83,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0276205,POPLAR RIDGE MHP,203.0,9/26/2023,RANDOLPH,2.98,2.31,2.98,0.798,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113191,POPLAR TRAILS WATER SYSTEM,180.0,9/6/2023,CABARRUS,3.79,4.24,3.4,3.02,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC4092172,PRESCOTT S/D,80.0,5/18/2023,WAKE,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC1088008,PRESERVE AT ROCK CREEK,45.0,10/18/2023,TRANSYLVANIA,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113129,PRIVATE ACRES S/D,124.0,9/6/2023,CABARRUS,3.21,5.96,1.96,2.37,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0416113,PRUITT HEALTH AT SEA LEVEL,110.0,8/9/2023,CARTERET,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0279157,QUAIL ACRES MHP,178.0,8/24/2023,ROCKINGHAM,ND,1.91,2.83,1.92,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC3041060,RACHEL`S LANDING,51.0,8/28/2023,GUILFORD,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0201166,RAE MCKENZIE MOBILE HOME PARK,100.0,10/31/2023,ALAMANCE,3.94,5.18,4.76,3.79,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0136055,RAGAN VILLAGE WATER ASSOC,100.0,8/2/2023,GASTON,ND,4.24,4.37,18.7,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,0.742,ND,,,,,,,,,,,,,NC0326310,RAINTREE MHP,95.0,8/15/2023,CUMBERLAND,2.48,3.69,6.03,2.49,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0111125,RANGEVIEW ACRES MHP,150.0,8/30/2023,BUNCOMBE,1.49,7.27,2.19,4.15,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC1056029,RECOVERY VENTURES CORPORATION,64.0,9/27/2023,MCDOWELL,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0160168,REEDY CREEK MHP,64.0,9/18/2023,MECKLENBURG,1.96,2.41,1.96,2.09,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC3041122,REVOLUTION ACADEMY,780.0,9/5/2023,GUILFORD,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0113204,"RHA HEALTH SERVICES, LLC",215.0,10/12/2023,CABARRUS,ND,ND,1.92,2.3,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0188132,RIDGE HAVEN CONFERENCE CENTER,100.0,9/26/2023,TRANSYLVANIA,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0111118,RIDGECREST CONFERENCE CENTER,950.0,8/30/2023,BUNCOMBE,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0368160,RILEY`S MHP,65.0,6/6/2023,ORANGE,ND,ND,ND,ND,,,,,,
,,,,,,,,,,,,,,Groundwater,,,,,ND,ND,,,,,,,,,,,,,NC0276153,RIMMER`S MHP,63.0,9/26/2023,RANDOLPH,ND,ND,ND,ND,,,,,,
