"Sample date","Sweeney Finished","Sweeney Raw"
"10/31/2022",,150
"11/01/2022",3,
"11/07/2022",,199
"11/08/2022",6,
"11/14/2022",,212
"11/15/2022",6,
"11/21/2022",,153
"11/22/2022",4,
"11/28/2022",,135
"11/29/2022",4,
"12/05/2022",,74
"12/06/2022",6,
"12/12/2022",,75
"12/13/2022",6,
"12/19/2022",,84
"12/20/2022",7,
"12/29/2022",12,
"01/04/2023",8,
"01/09/2023",,64
"01/10/2023",10,
"01/17/2023",,92
"01/18/2023",16.91,
"01/23/2023",,69.64
"01/24/2023",13.69,
"01/30/2023",,58.13
"01/31/2023",16.49,
"02/06/2023",,61.53
"02/07/2023",14.99,
"02/13/2023",,62
"02/14/2023",16.12,
"02/20/2023",,59.7
"02/21/2023",17.63,
"02/27/2023",,88.15
"02/28/2023",18.52,
"03/06/2023",,88.32
"03/07/2023",20.96,
"03/13/2023",,91.65
"03/14/2023",23.77,
"03/20/2023",,79.28
"03/21/2023",24,
"03/27/2023",,67.84
"03/28/2023",28.13,
"04/03/2023",,65.27
"04/04/2023",21.32,
"04/10/2023",,72.31
"04/11/2023",28.49,
"04/18/2023",25.22,
"04/24/2023",,76.71
"04/25/2023",23.1,
"05/01/2023",,80.56
"05/02/2023",33.92,
"05/05/2023",,49.32
"05/08/2023",,73.77
"05/09/2023",24.84,
"05/15/2023",,63.2
"05/16/2023",27.58,
"05/22/2023",,119.44
"05/23/2023",36.02,
"05/30/2023",,86.38
"05/31/2023",39.93,
"06/05/2023",,126.01
"06/06/2023",47.37,
"06/12/2023",,76.1
"06/13/2023",66.9,
"06/19/2023",,119.21
"06/20/2023",45.03,
"06/26/2023",,30.06
"06/27/2023",50.72,
"07/03/2023",,83.88
"07/05/2023",43.95,
"07/10/2023",,68.75
"07/11/2023",47.23,
"07/17/2023",,69.08
"07/18/2023",54.06,
"07/24/2023",,87.71
"07/25/2023",56.11,
"07/31/2023",,90.59
"08/01/2023",59.36,
"08/07/2023",,102.28
"08/08/2023",61.93,
"08/14/2023",,111.75
"08/15/2023",56.56,
"08/21/2023",,130.4
"08/22/2023",55.23,
"08/28/2023",,127.9
"08/29/2023",56.32,
"09/04/2023",,110.08
"09/05/2023",39.23,
"09/11/2023",,91.29
"09/12/2023",33.65,
"09/18/2023",,103.51
"09/19/2023",51.15,
"09/25/2023",,152.81
"09/26/2023",54.24,
"10/02/2023",,119.71
"10/03/2023",52.17,
"10/09/2023",,127.33
"10/10/2023",64.7,
"10/16/2023",,108.62
"10/17/2023",64.06,
"10/23/2023",,128.99
"10/24/2023",70.82,
"10/30/2023",,134.76
"10/31/2023",61.5,
"11/06/2023",,122.66
"11/07/2023",53.56,
"11/13/2023",,133.84
"11/14/2023",60.37,
"11/20/2023",,133.2
"11/21/2023",67.87,
