System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0180656,MT ULLA ELEM SCHOOL,GW,370,4/25/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0180760,MCKENZIE SPORTS PRODUCTS,GW,198,5/16/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0181107,CHIMNEY ROCK VILLAGE,GW,71,5/8/2024,RUTHERF,ND,ND,ND,ND,ND,ND,2024
NC0187598,EAST SWAIN ELEM SCHOOL,GW,460,4/10/2024,SWAIN,ND,ND,ND,ND,ND,ND,2024
NC0187599,WEST SWAIN ELEM SCHOOL,GW,450,4/10/2024,SWAIN,ND,2.02,ND,3.89,ND,0.832,2024
NC0188500,MITCHELL-BISSELL CORP,GW,96,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0188524,T C HENDERSON ELEM SCHOOL,GW,153,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0188538,MOUNT PISGAH,GW,150,4/30/2024,TRANSYLV,2.16,1.7,ND,ND,ND,ND,2024
NC0188560,GAIA HERBS,GW,98,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0190127,"JAARS, INC",GW,790,5/15/2024,UNION,2.63,ND,ND,ND,ND,ND,2024
NC0195418,PARKWAY ELEM SCHOOL,GW,700,4/23/2024,WATAUGA,ND,1.27,ND,0.892,ND,ND,2024
NC0195419,GREEN VALLEY ELEM SCHOOL,GW,320,4/23/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195421,BETHEL ELEMENTARY SCHOOL,GW,210,4/23/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195422,VALLE CRUCIS ELEM SCHOOL,GW,410,4/23/2024,WATAUGA,2.97,1.79,ND,1.09,ND,0.93,2024
NC0195424,COVE CREEK PRESERVATION & DEV,GW,65,6/20/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195424,COVE CREEK PRESERVATION & DEV,GW,65,6/20/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195498,DOT-BOONE MAINT YARD,GW,38,6/18/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195498,DOT-BOONE MAINT YARD,GW,38,6/18/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195521,MABEL ELEM SCHOOL,GW,200,4/23/2024,WATAUGA,2.85,6.91,ND,1.31,0.796,1.2,2024
NC0195521,MABEL ELEM SCHOOL,GW,200,8/20/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195530,COVE CREEK ELEMENTARY SCHOOL,GW,347,4/23/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0195534,MAST GENERAL STORE-WAREHOUSE,GW,70,5/21/2024,WATAUGA,ND,ND,ND,ND,ND,ND,2024
NC0197401,RONDA-CLINGMAN ELEM SCHOOL,GW,300,4/2/2024,WILKES,ND,ND,ND,0.768,ND,ND,2024
NC0197429,TRAPHILL ELEM SCHOOL,GW,75,4/2/2024,WILKES,0.852,ND,ND,3.39,ND,ND,2024
NC0197452,BOOMER-FERGUSON ELEM SCHOOL,GW,175,4/2/2024,WILKES,ND,ND,ND,ND,ND,ND,2024
