System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year,Source Water Type,Population,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L
HIDDEN FOREST MHP,RANDOLPH,NC0276208,,,,8/24/2023,,ND,ND,ND,2023,Groundwater,470.0,1.66,ND,0.731
HIGH HAMPTON INN/COUNTRY CLUB,JACKSON,NC0150136,,,,8/24/2023,,ND,1.62,3.37,2023,Groundwater,721.0,ND,ND,0.588
HIGHGATE S/D,MACON,NC1057013,,,,10/18/2023,,ND,ND,ND,2023,Groundwater,62.0,1.03,ND,ND
HIGHLANDS COVE S/D,JACKSON,NC0150200,,,,8/9/2023,,ND,ND,ND,2023,Groundwater,511.0,ND,ND,ND
HIGHLANDS FALLS COUNTRY CLUB,MACON,NC0157123,,,,8/3/2023,,ND,1.86,2.7,2023,Groundwater,650.0,0.621,ND,ND
HILLCREST-SCURLOCK WATER INC,HOKE,NC0347107,,,,8/15/2023,,ND,1.17,ND,2023,Groundwater,1369.0,ND,ND,0.796
HILLSBOROUGH UCC,ORANGE,NC4068009,,,,6/6/2023,,ND,ND,ND,2023,Groundwater,84.0,ND,ND,ND
HOLLY FAYE MHP,GASTON,NC0136227,,,,8/2/2023,,ND,8.63,ND,2023,Groundwater,60.0,3.28,ND,1.08
HOLLY TREE VILLAGE,ALAMANCE,NC0201141,,,,11/2/2023,,ND,6.43,3.19,2023,Groundwater,198.0,1.81,ND,3.79
HOMESTEAD MHP,ORANGE,NC0368119,,,,5/23/2023,,ND,1,2.99,2023,Groundwater,25.0,3.56,ND,4.81
HOMESTEAD MHP  NO 2,PITT,NC0474110,,,,11/17/2023,,ND,ND,ND,2023,Groundwater,200.0,ND,ND,ND
HORSESHOE MOBILE ESTATES,WAKE,NC0392113,,,,7/12/2023,,0.239,12,10.1,2023,Groundwater,255.0,4.88,ND,13.4
HOUSTON HOUSE REST HOME,MCDOWELL,NC0156127,,,,9/27/2023,,ND,ND,ND,2023,Groundwater,40.0,ND,ND,ND
HUMPBACK MOUNTAIN,MITCHELL,NC1061009,,,,8/10/2023,,ND,ND,ND,2023,Groundwater,25.0,ND,ND,ND
HUNTING ESTATES,CARTERET,NC0416186,,,,8/1/2023,,ND,ND,ND,2023,Groundwater,80.0,ND,ND,ND
